Category,Resume_str
Marketing,"Experienced Marketing Manager with 7+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Marketing Manager at Spotify (2016–2019): Led initiatives involving content strategy, influencer marketing, and email marketing. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging SEO and conversion optimization. Junior Marketing Manager at Publicis (2019–2023): Worked on projects using digital marketing, campaign management, and HubSpot. Contributed to team goals and supported senior staff with market research tasks. Technical Skills: content strategy, influencer marketing, email marketing, SEO, conversion optimization, digital marketing, campaign management, HubSpot, market research, Google Analytics Education: B.S. in Business from USC. Certifications: Completed relevant professional development in SEO and SEO."
Marketing,"Experienced CMO with 6+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. CMO at HubSpot (2017–2019): Led initiatives involving influencer marketing, HubSpot, and CRM. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging brand strategy and copywriting. Junior CMO at Unilever (2019–2023): Worked on projects using Google Analytics, market research, and content strategy. Contributed to team goals and supported senior staff with paid media tasks. Technical Skills: influencer marketing, HubSpot, CRM, brand strategy, copywriting, Google Analytics, market research, content strategy, paid media, digital marketing Education: B.S. in Business from USC. Certifications: Completed relevant professional development in market research and paid media."
Data Science,"Experienced Data Scientist with 3+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Data Scientist at Uber (2018–2020): Led initiatives involving machine learning, PyTorch, and Spark. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging pandas and Tableau. Junior Data Scientist at Netflix (2020–2021): Worked on projects using Jupyter, data visualization, and NumPy. Contributed to team goals and supported senior staff with deep learning tasks. Technical Skills: machine learning, PyTorch, Spark, pandas, Tableau, Jupyter, data visualization, NumPy, deep learning, scikit-learn Education: M.S. in Computer Science from Carnegie Mellon. Certifications: Completed relevant professional development in Jupyter and Spark."
Cybersecurity,"Experienced Security Analyst with 8+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Analyst at CrowdStrike (2018–2023): Led initiatives involving firewalls, ethical hacking, and vulnerability assessment. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging cryptography and penetration testing. Junior Security Analyst at Fortinet (2023–2026): Worked on projects using NIST, SIEM, and threat intelligence. Contributed to team goals and supported senior staff with IAM tasks. Technical Skills: firewalls, ethical hacking, vulnerability assessment, cryptography, penetration testing, NIST, SIEM, threat intelligence, IAM, GDPR compliance Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in ethical hacking and SIEM."
Software Engineer,"Experienced Backend Developer with 6+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Backend Developer at Stripe (2017–2022): Led initiatives involving CI/CD, microservices, and Go. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Docker and Python. Junior Backend Developer at Shopify (2022–2023): Worked on projects using Node.js, React, and system design. Contributed to team goals and supported senior staff with REST APIs tasks. Technical Skills: CI/CD, microservices, Go, Docker, Python, Node.js, React, system design, REST APIs, Agile Education: B.S. in Computer Science from Georgia Tech. Certifications: Completed relevant professional development in microservices and Python."
Marketing,"Experienced Growth Marketer with 8+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Growth Marketer at Publicis (2019–2023): Led initiatives involving influencer marketing, Google Analytics, and Salesforce. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging campaign management and HubSpot. Junior Growth Marketer at Ogilvy (2023–2027): Worked on projects using Facebook Ads, CRM, and content strategy. Contributed to team goals and supported senior staff with email marketing tasks. Technical Skills: influencer marketing, Google Analytics, Salesforce, campaign management, HubSpot, Facebook Ads, CRM, content strategy, email marketing, SEM Education: B.A. in Marketing from NYU. Certifications: Completed relevant professional development in campaign management and campaign management."
Data Science,"Experienced AI Researcher with 4+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. AI Researcher at OpenAI (2020–2021): Led initiatives involving NLP, deep learning, and A/B testing. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging feature engineering and Hadoop. Junior AI Researcher at DeepMind (2021–2024): Worked on projects using SQL, R, and statistical modeling. Contributed to team goals and supported senior staff with pandas tasks. Technical Skills: NLP, deep learning, A/B testing, feature engineering, Hadoop, SQL, R, statistical modeling, pandas, computer vision Education: Ph.D. in Machine Learning from MIT. Certifications: Completed relevant professional development in pandas and computer vision."
Healthcare,"Experienced Healthcare Administrator with 8+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Healthcare Administrator at Johnson & Johnson (2020–2025): Led initiatives involving ACLS, BLS, and patient care. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging telemedicine and care coordination. Junior Healthcare Administrator at UnitedHealth (2025–2028): Worked on projects using surgical assistance, HIPAA compliance, and ICD-10. Contributed to team goals and supported senior staff with diagnostic imaging tasks. Technical Skills: ACLS, BLS, patient care, telemedicine, care coordination, surgical assistance, HIPAA compliance, ICD-10, diagnostic imaging, healthcare analytics Education: M.D. from University of Michigan Medical School. Certifications: Completed relevant professional development in ACLS and diagnostic imaging."
Product Management,"Experienced Product Manager with 5+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. Product Manager at Amazon (2020–2024): Led initiatives involving go-to-market strategy, Figma, and SQL. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Mixpanel and sprint planning. Junior Product Manager at Productboard (2024–2025): Worked on projects using Amplitude, JIRA, and wireframing. Contributed to team goals and supported senior staff with stakeholder management tasks. Technical Skills: go-to-market strategy, Figma, SQL, Mixpanel, sprint planning, Amplitude, JIRA, wireframing, stakeholder management, Scrum Education: B.S. in Computer Science from Cornell. Certifications: Completed relevant professional development in Scrum and sprint planning."
Software Engineer,"Experienced Backend Developer with 4+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Backend Developer at Salesforce (2020–2023): Led initiatives involving Terraform, REST APIs, and C++. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Node.js and Redis. Junior Backend Developer at Shopify (2023–2024): Worked on projects using gRPC, Go, and Git. Contributed to team goals and supported senior staff with Linux tasks. Technical Skills: Terraform, REST APIs, C++, Node.js, Redis, gRPC, Go, Git, Linux, AWS Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in Go and Node.js."
Software Engineer,"Experienced Platform Engineer with 6+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Salesforce (2019–2022): Led initiatives involving Go, Linux, and gRPC. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging system design and CI/CD. Junior Platform Engineer at Apple (2022–2025): Worked on projects using REST APIs, Python, and Terraform. Contributed to team goals and supported senior staff with Git tasks. Technical Skills: Go, Linux, gRPC, system design, CI/CD, REST APIs, Python, Terraform, Git, Node.js Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in Python and system design."
Healthcare,"Experienced Physician with 7+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Physician at Pfizer (2020–2023): Led initiatives involving case management, surgical assistance, and infection control. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging CPT coding and BLS. Junior Physician at Johnson & Johnson (2023–2027): Worked on projects using clinical research, telemedicine, and care coordination. Contributed to team goals and supported senior staff with public health tasks. Technical Skills: case management, surgical assistance, infection control, CPT coding, BLS, clinical research, telemedicine, care coordination, public health, ICD-10 Education: M.D. from University of Michigan Medical School. Certifications: Completed relevant professional development in infection control and telemedicine."
Product Management,"Experienced CPO with 3+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. CPO at Meta (2016–2018): Led initiatives involving user research, Figma, and stakeholder management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging wireframing and prioritization frameworks. Junior CPO at Asana (2018–2019): Worked on projects using go-to-market strategy, A/B testing, and product metrics. Contributed to team goals and supported senior staff with Mixpanel tasks. Technical Skills: user research, Figma, stakeholder management, wireframing, prioritization frameworks, go-to-market strategy, A/B testing, product metrics, Mixpanel, SQL Education: MBA from Stanford GSB. Certifications: Completed relevant professional development in prioritization frameworks and user research."
DevOps,"Experienced SRE with 8+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. SRE at Red Hat (2015–2019): Led initiatives involving Azure, Grafana, and Kubernetes. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging monitoring and alerting and infrastructure as code. Junior SRE at Fastly (2019–2023): Worked on projects using CI/CD pipelines, GCP, and site reliability engineering. Contributed to team goals and supported senior staff with GitOps tasks. Technical Skills: Azure, Grafana, Kubernetes, monitoring and alerting, infrastructure as code, CI/CD pipelines, GCP, site reliability engineering, GitOps, Terraform Education: B.S. in Information Technology from RIT. Certifications: Completed relevant professional development in Terraform and Azure."
Marketing,"Experienced Growth Marketer with 6+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. Growth Marketer at Publicis (2016–2020): Led initiatives involving content strategy, SEO, and Google Analytics. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging email marketing and SEM. Junior Growth Marketer at Spotify (2020–2022): Worked on projects using campaign management, Salesforce, and paid media. Contributed to team goals and supported senior staff with influencer marketing tasks. Technical Skills: content strategy, SEO, Google Analytics, email marketing, SEM, campaign management, Salesforce, paid media, influencer marketing, digital marketing Education: B.S. in Business from USC. Certifications: Completed relevant professional development in content strategy and SEO."
DevOps,"Experienced SRE with 2+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. SRE at Datadog (2016–2017): Led initiatives involving monitoring and alerting, Terraform, and Linux. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Helm and ELK Stack. Junior SRE at Cloudflare (2017–2018): Worked on projects using CI/CD pipelines, Nginx, and Bash scripting. Contributed to team goals and supported senior staff with Ansible tasks. Technical Skills: monitoring and alerting, Terraform, Linux, Helm, ELK Stack, CI/CD pipelines, Nginx, Bash scripting, Ansible, site reliability engineering Education: AWS Certified Solutions Architect. Certifications: Completed relevant professional development in ELK Stack and Terraform."
Cybersecurity,"Experienced Security Analyst with 4+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Analyst at Okta (2018–2021): Led initiatives involving forensics, OWASP, and vulnerability assessment. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging incident response and CISSP. Junior Security Analyst at Fortinet (2021–2022): Worked on projects using network security, firewalls, and CEH. Contributed to team goals and supported senior staff with threat intelligence tasks. Technical Skills: forensics, OWASP, vulnerability assessment, incident response, CISSP, network security, firewalls, CEH, threat intelligence, penetration testing Education: CEH Certified. Certifications: Completed relevant professional development in forensics and CEH."
Healthcare,"Experienced Medical Officer with 8+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Medical Officer at UnitedHealth (2018–2023): Led initiatives involving ACLS, telemedicine, and clinical research. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging patient care and surgical assistance. Junior Medical Officer at Johnson & Johnson (2023–2026): Worked on projects using ICD-10, infection control, and BLS. Contributed to team goals and supported senior staff with case management tasks. Technical Skills: ACLS, telemedicine, clinical research, patient care, surgical assistance, ICD-10, infection control, BLS, case management, nursing Education: M.P.H. from Harvard T.H. Chan School. Certifications: Completed relevant professional development in infection control and surgical assistance."
Web Developer,"Experienced Web Developer with 4+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. Web Developer at HubSpot (2016–2019): Led initiatives involving TypeScript, responsive design, and Next.js. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging CSS and REST APIs. Junior Web Developer at Wix (2019–2020): Worked on projects using HTML, Sass, and React. Contributed to team goals and supported senior staff with Tailwind CSS tasks. Technical Skills: TypeScript, responsive design, Next.js, CSS, REST APIs, HTML, Sass, React, Tailwind CSS, Angular Education: Self-taught with bootcamp certification. Certifications: Completed relevant professional development in REST APIs and responsive design."
Finance,"Experienced CFO with 2+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. CFO at BlackRock (2016–2017): Led initiatives involving Bloomberg, M&A, and equity research. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging CFA and credit analysis. Junior CFO at Citadel (2017–2018): Worked on projects using forecasting, portfolio management, and financial reporting. Contributed to team goals and supported senior staff with fixed income tasks. Technical Skills: Bloomberg, M&A, equity research, CFA, credit analysis, forecasting, portfolio management, financial reporting, fixed income, budgeting Education: MBA from Harvard Business School. Certifications: Completed relevant professional development in financial reporting and financial reporting."
Cybersecurity,"Experienced Security Analyst with 4+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Analyst at Palo Alto Networks (2015–2018): Led initiatives involving IAM, incident response, and cloud security. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging cryptography and network security. Junior Security Analyst at SentinelOne (2018–2019): Worked on projects using OWASP, ethical hacking, and vulnerability assessment. Contributed to team goals and supported senior staff with penetration testing tasks. Technical Skills: IAM, incident response, cloud security, cryptography, network security, OWASP, ethical hacking, vulnerability assessment, penetration testing, malware analysis Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in incident response and IAM."
Human Resources,"Experienced HR Business Partner with 5+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. HR Business Partner at ADP (2016–2019): Led initiatives involving compensation and benefits, performance management, and diversity and inclusion. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging employee relations and employer branding. Junior HR Business Partner at Deloitte (2019–2021): Worked on projects using onboarding, conflict resolution, and workforce planning. Contributed to team goals and supported senior staff with labor law tasks. Technical Skills: compensation and benefits, performance management, diversity and inclusion, employee relations, employer branding, onboarding, conflict resolution, workforce planning, labor law, retention strategies Education: M.S. in Organizational Psychology from Columbia. Certifications: Completed relevant professional development in workforce planning and employee relations."
DevOps,"Experienced Infrastructure Engineer with 2+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. Infrastructure Engineer at Red Hat (2017–2018): Led initiatives involving Jenkins, Docker, and CI/CD pipelines. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Grafana and ELK Stack. Junior Infrastructure Engineer at PagerDuty (2018–2019): Worked on projects using monitoring and alerting, Helm, and GCP. Contributed to team goals and supported senior staff with AWS tasks. Technical Skills: Jenkins, Docker, CI/CD pipelines, Grafana, ELK Stack, monitoring and alerting, Helm, GCP, AWS, Bash scripting Education: AWS Certified Solutions Architect. Certifications: Completed relevant professional development in CI/CD pipelines and Helm."
Human Resources,"Experienced HR Business Partner with 3+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. HR Business Partner at Accenture (2020–2021): Led initiatives involving employer branding, Workday, and performance management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging conflict resolution and HR analytics. Junior HR Business Partner at ADP (2021–2023): Worked on projects using diversity and inclusion, labor law, and HRIS. Contributed to team goals and supported senior staff with workforce planning tasks. Technical Skills: employer branding, Workday, performance management, conflict resolution, HR analytics, diversity and inclusion, labor law, HRIS, workforce planning, employee relations Education: B.S. in Human Resources from Michigan State. Certifications: Completed relevant professional development in Workday and HRIS."
Healthcare,"Experienced Medical Officer with 4+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Medical Officer at UnitedHealth (2019–2022): Led initiatives involving infection control, medical coding, and patient care. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging public health and BLS. Junior Medical Officer at Johnson & Johnson (2022–2023): Worked on projects using HIPAA compliance, pharmacology, and CPT coding. Contributed to team goals and supported senior staff with nursing tasks. Technical Skills: infection control, medical coding, patient care, public health, BLS, HIPAA compliance, pharmacology, CPT coding, nursing, care coordination Education: B.S. in Healthcare Administration from Ohio State. Certifications: Completed relevant professional development in care coordination and medical coding."
Marketing,"Experienced CMO with 9+ years of hands-on experience in the Marketing domain. Passionate about delivering impactful results and working in cross-functional teams. CMO at Unilever (2020–2025): Led initiatives involving A/B testing, marketing automation, and email marketing. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging influencer marketing and HubSpot. Junior CMO at HubSpot (2025–2029): Worked on projects using conversion optimization, brand strategy, and market research. Contributed to team goals and supported senior staff with Salesforce tasks. Technical Skills: A/B testing, marketing automation, email marketing, influencer marketing, HubSpot, conversion optimization, brand strategy, market research, Salesforce, copywriting Education: MBA from Kellogg School of Management. Certifications: Completed relevant professional development in HubSpot and conversion optimization."
Cybersecurity,"Experienced Security Analyst with 4+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Security Analyst at Fortinet (2017–2020): Led initiatives involving incident response, cloud security, and CEH. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging IAM and malware analysis. Junior Security Analyst at Okta (2020–2021): Worked on projects using forensics, cryptography, and penetration testing. Contributed to team goals and supported senior staff with NIST tasks. Technical Skills: incident response, cloud security, CEH, IAM, malware analysis, forensics, cryptography, penetration testing, NIST, ethical hacking Education: CEH Certified. Certifications: Completed relevant professional development in ethical hacking and cloud security."
Cybersecurity,"Experienced Threat Analyst with 3+ years of hands-on experience in the Cybersecurity domain. Passionate about delivering impactful results and working in cross-functional teams. Threat Analyst at SentinelOne (2019–2020): Led initiatives involving firewalls, forensics, and threat intelligence. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging vulnerability assessment and zero trust. Junior Threat Analyst at Palo Alto Networks (2020–2022): Worked on projects using CISSP, GDPR compliance, and cryptography. Contributed to team goals and supported senior staff with incident response tasks. Technical Skills: firewalls, forensics, threat intelligence, vulnerability assessment, zero trust, CISSP, GDPR compliance, cryptography, incident response, OWASP Education: M.S. in Information Security from Carnegie Mellon. Certifications: Completed relevant professional development in zero trust and cryptography."
Finance,"Experienced Portfolio Manager with 4+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Portfolio Manager at JP Morgan (2018–2020): Led initiatives involving financial modeling, CFA, and Python. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging M&A and DCF analysis. Junior Portfolio Manager at Two Sigma (2020–2022): Worked on projects using portfolio management, forecasting, and investment banking. Contributed to team goals and supported senior staff with financial reporting tasks. Technical Skills: financial modeling, CFA, Python, M&A, DCF analysis, portfolio management, forecasting, investment banking, financial reporting, credit analysis Education: B.S. in Finance from Wharton. Certifications: Completed relevant professional development in Python and portfolio management."
Web Developer,"Experienced Web Developer with 7+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. Web Developer at Mailchimp (2020–2025): Led initiatives involving React, Angular, and JavaScript. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging accessibility and Figma. Junior Web Developer at HubSpot (2025–2027): Worked on projects using HTML, responsive design, and CSS. Contributed to team goals and supported senior staff with Next.js tasks. Technical Skills: React, Angular, JavaScript, accessibility, Figma, HTML, responsive design, CSS, Next.js, Node.js Education: Self-taught with bootcamp certification. Certifications: Completed relevant professional development in JavaScript and React."
Human Resources,"Experienced Recruiter with 6+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. Recruiter at Deloitte (2017–2021): Led initiatives involving workforce planning, organizational development, and compensation and benefits. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging ATS and retention strategies. Junior Recruiter at McKinsey (2021–2023): Worked on projects using onboarding, performance management, and HRIS. Contributed to team goals and supported senior staff with talent acquisition tasks. Technical Skills: workforce planning, organizational development, compensation and benefits, ATS, retention strategies, onboarding, performance management, HRIS, talent acquisition, Workday Education: M.S. in Organizational Psychology from Columbia. Certifications: Completed relevant professional development in talent acquisition and performance management."
Healthcare,"Experienced Healthcare Administrator with 9+ years of hands-on experience in the Healthcare domain. Passionate about delivering impactful results and working in cross-functional teams. Healthcare Administrator at Johnson & Johnson (2018–2023): Led initiatives involving ICD-10, surgical assistance, and Epic. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging HIPAA compliance and ACLS. Junior Healthcare Administrator at Cleveland Clinic (2023–2027): Worked on projects using patient care, BLS, and medical coding. Contributed to team goals and supported senior staff with case management tasks. Technical Skills: ICD-10, surgical assistance, Epic, HIPAA compliance, ACLS, patient care, BLS, medical coding, case management, clinical research Education: B.S. in Healthcare Administration from Ohio State. Certifications: Completed relevant professional development in Epic and ICD-10."
Software Engineer,"Experienced Platform Engineer with 6+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Atlassian (2018–2020): Led initiatives involving Java, Redis, and Go. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging React and PostgreSQL. Junior Platform Engineer at Apple (2020–2024): Worked on projects using CI/CD, Agile, and Node.js. Contributed to team goals and supported senior staff with Python tasks. Technical Skills: Java, Redis, Go, React, PostgreSQL, CI/CD, Agile, Node.js, Python, AWS Education: B.S. in Computer Engineering from UT Austin. Certifications: Completed relevant professional development in AWS and Redis."
Data Science,"Experienced Senior Data Scientist with 7+ years of hands-on experience in the Data Science domain. Passionate about delivering impactful results and working in cross-functional teams. Senior Data Scientist at Airbnb (2020–2025): Led initiatives involving NLP, Python, and data visualization. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging computer vision and Hadoop. Junior Senior Data Scientist at OpenAI (2025–2027): Worked on projects using feature engineering, machine learning, and statistical modeling. Contributed to team goals and supported senior staff with SQL tasks. Technical Skills: NLP, Python, data visualization, computer vision, Hadoop, feature engineering, machine learning, statistical modeling, SQL, TensorFlow Education: M.S. in Data Science from Stanford University. Certifications: Completed relevant professional development in machine learning and data visualization."
Software Engineer,"Experienced Platform Engineer with 7+ years of hands-on experience in the Software Engineer domain. Passionate about delivering impactful results and working in cross-functional teams. Platform Engineer at Microsoft (2016–2020): Led initiatives involving AWS, system design, and Git. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging PostgreSQL and C++. Junior Platform Engineer at Salesforce (2020–2023): Worked on projects using Go, Linux, and REST APIs. Contributed to team goals and supported senior staff with Node.js tasks. Technical Skills: AWS, system design, Git, PostgreSQL, C++, Go, Linux, REST APIs, Node.js, microservices Education: M.S. in Software Engineering from Purdue. Certifications: Completed relevant professional development in Linux and Linux."
Finance,"Experienced Risk Analyst with 7+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Risk Analyst at BlackRock (2020–2023): Led initiatives involving derivatives, financial reporting, and risk management. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging investment banking and CFA. Junior Risk Analyst at Two Sigma (2023–2027): Worked on projects using budgeting, M&A, and DCF analysis. Contributed to team goals and supported senior staff with credit analysis tasks. Technical Skills: derivatives, financial reporting, risk management, investment banking, CFA, budgeting, M&A, DCF analysis, credit analysis, GAAP Education: CFA Charterholder. Certifications: Completed relevant professional development in CFA and financial reporting."
DevOps,"Experienced Infrastructure Engineer with 4+ years of hands-on experience in the DevOps domain. Passionate about delivering impactful results and working in cross-functional teams. Infrastructure Engineer at Datadog (2018–2019): Led initiatives involving ELK Stack, Ansible, and AWS. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Bash scripting and GCP. Junior Infrastructure Engineer at Splunk (2019–2022): Worked on projects using Azure, Kubernetes, and Nginx. Contributed to team goals and supported senior staff with Terraform tasks. Technical Skills: ELK Stack, Ansible, AWS, Bash scripting, GCP, Azure, Kubernetes, Nginx, Terraform, monitoring and alerting Education: AWS Certified Solutions Architect. Certifications: Completed relevant professional development in GCP and Terraform."
Web Developer,"Experienced UI Developer with 5+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. UI Developer at Automattic (2018–2021): Led initiatives involving accessibility, Figma, and Next.js. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging TypeScript and Tailwind CSS. Junior UI Developer at Squarespace (2021–2023): Worked on projects using HTML, Node.js, and SEO. Contributed to team goals and supported senior staff with Vue.js tasks. Technical Skills: accessibility, Figma, Next.js, TypeScript, Tailwind CSS, HTML, Node.js, SEO, Vue.js, JavaScript Education: Self-taught with bootcamp certification. Certifications: Completed relevant professional development in SEO and Next.js."
Web Developer,"Experienced Web Developer with 5+ years of hands-on experience in the Web Developer domain. Passionate about delivering impactful results and working in cross-functional teams. Web Developer at Webflow (2017–2019): Led initiatives involving HTML, TypeScript, and SEO. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging REST APIs and JavaScript. Junior Web Developer at Wix (2019–2022): Worked on projects using Figma, responsive design, and Next.js. Contributed to team goals and supported senior staff with GraphQL tasks. Technical Skills: HTML, TypeScript, SEO, REST APIs, JavaScript, Figma, responsive design, Next.js, GraphQL, Tailwind CSS Education: Self-taught with bootcamp certification. Certifications: Completed relevant professional development in Next.js and SEO."
Human Resources,"Experienced Recruiter with 7+ years of hands-on experience in the Human Resources domain. Passionate about delivering impactful results and working in cross-functional teams. Recruiter at Deloitte (2018–2023): Led initiatives involving diversity and inclusion, employee relations, and SAP HR. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging labor law and workforce planning. Junior Recruiter at Accenture (2023–2025): Worked on projects using Workday, talent acquisition, and compliance. Contributed to team goals and supported senior staff with employer branding tasks. Technical Skills: diversity and inclusion, employee relations, SAP HR, labor law, workforce planning, Workday, talent acquisition, compliance, employer branding, compensation and benefits Education: M.S. in Organizational Psychology from Columbia. Certifications: Completed relevant professional development in compliance and compliance."
Product Management,"Experienced CPO with 4+ years of hands-on experience in the Product Management domain. Passionate about delivering impactful results and working in cross-functional teams. CPO at Linear (2016–2019): Led initiatives involving sprint planning, product metrics, and Figma. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Amplitude and customer discovery. Junior CPO at Meta (2019–2020): Worked on projects using go-to-market strategy, Agile, and JIRA. Contributed to team goals and supported senior staff with Mixpanel tasks. Technical Skills: sprint planning, product metrics, Figma, Amplitude, customer discovery, go-to-market strategy, Agile, JIRA, Mixpanel, prioritization frameworks Education: B.S. in Business from Northwestern. Certifications: Completed relevant professional development in prioritization frameworks and go-to-market strategy."
Finance,"Experienced Portfolio Manager with 5+ years of hands-on experience in the Finance domain. Passionate about delivering impactful results and working in cross-functional teams. Portfolio Manager at Bridgewater (2017–2021): Led initiatives involving credit analysis, risk management, and financial reporting. Collaborated with engineering and business teams to deliver high-quality outcomes. Improved key metrics by leveraging Bloomberg and portfolio management. Junior Portfolio Manager at Goldman Sachs (2021–2022): Worked on projects using investment banking, DCF analysis, and financial modeling. Contributed to team goals and supported senior staff with SQL tasks. Technical Skills: credit analysis, risk management, financial reporting, Bloomberg, portfolio management, investment banking, DCF analysis, financial modeling, SQL, CFA Education: B.S. in Finance from Wharton. Certifications: Completed relevant professional development in Bloomberg and financial modeling."
